week,date,ID,room,sex,totalmass,originalmass,bagmass,mass,SVL,deltalizardmass,percentofstartweight,percentgrowthrate,notes,pregnant,eggorplug,treat,deltastartmass,weeklymeanmass,weeklymeanSVL,weeklyMi,percentMi,percent1stMi,
1,8/15/2018,2,A,m,13.15,5.15,7.75,5.4,60.2,0.25,1.048543689,1.048543689,,n,n,0.2,0.25,3.803174603,51.65238095,3.016194023,1,1,
1,8/15/2018,3,A,m,11.65,3.95,7.8,3.85,54.8,-0.1,0.974683544,0.974683544,,n,n,2,-0.1,3.803174603,51.65238095,3.074371629,1,1,
1,8/15/2018,4,A,m,12.55,4.8,7.75,4.8,60.2,0,1,1,,n,n,0.02,0,3.803174603,51.65238095,2.681061354,1,1,
1,8/15/2018,5,A,m,11.3,3.75,7.75,3.55,52.8,-0.2,0.946666667,0.946666667,,n,n,2,-0.2,3.803174603,51.65238095,3.265370485,1,1,
1,8/15/2018,6,A,m,13.6,5.85,7.75,5.85,60.7,0,1,1,,n,n,0.2,0,3.803174603,51.65238095,3.166355098,1,1,
1,8/15/2018,7,A,m,13.8,5.95,7.8,6,59,0.05,1.008403361,1.008403361,,n,n,2,0.05,3.803174603,51.65238095,3.618041536,1,1,
1,8/15/2018,8,A,m,14,6.05,7.75,6.25,61.9,0.2,1.033057851,1.033057851,,n,n,0,0.2,3.803174603,51.65238095,3.14014237,1,1,
1,8/15/2018,9,A,m,13.85,6.3,7.8,6.05,63,-0.25,0.96031746,0.96031746,,n,n,0.2,-0.25,3.803174603,51.65238095,2.842698427,1,1,
1,8/15/2018,10,A,m,13.85,5.4,7.8,6.05,59,0.65,1.12037037,1.12037037,,n,n,2,0.65,3.803174603,51.65238095,3.648191882,1,1,
1,8/15/2018,11,A,m,12.25,4.6,7.8,4.45,54.6,-0.15,0.967391304,0.967391304,,n,n,0.02,-0.15,3.803174603,51.65238095,3.603253076,1,1,
1,8/15/2018,12,A,m,11.35,3.2,7.75,3.6,55.8,0.4,1.125,1.125,,n,n,0,0.4,3.803174603,51.65238095,2.683671592,1,1,
